Module,Service ID,Service Name,Current State,Target Capability,Primary Data Source,Primary Windows/API Interface,Native Strategy,Database Needed,Simple UI,Advanced UI,Terminal/Evidence,Admin,Risk,Undo,Offline,External Dependency,Research Readiness,Primary Source,Implementation Phase
M01,M01-S01,Windows & hardware discovery,STATIC_VERIFIED,"Deliver Windows & hardware discovery as a bounded, inspectable Windows capability with truthful preflight, progress, result, and evidence.",CIM/WMI hardware classes; WinGet CLI,CIM/WMI hardware classes,typed Tauri/Rust contract; fixed allowlisted command only if required,yes,scope/source selector; Scan or Preview; Review results; Export evidence,bounded filters; timeout/result limits; evidence verbosity,operation id; phase; data source/API; duration; warnings/errors; changed/skipped objects,standard user unless the selected operation touches protected machine state,LOW,False,Core local capability must work offline unless an external provider is explicitly selected.,none,READY_TO_IMPLEMENT,https://learn.microsoft.com/en-us/windows/package-manager/winget/source,P2_existing_reference
M01,M01-S02,Winget availability verification,STATIC_VERIFIED,"Deliver Winget availability verification as a bounded, inspectable Windows capability with truthful preflight, progress, result, and evidence.",CIM/WMI hardware classes; WinGet CLI,CIM/WMI hardware classes,typed Tauri/Rust contract; fixed allowlisted command only if required,yes,scope/source selector; Scan or Preview; Review results; Export evidence,bounded filters; timeout/result limits; evidence verbosity,operation id; phase; data source/API; duration; warnings/errors; changed/skipped objects,standard user unless the selected operation touches protected machine state,LOW,False,Core local capability must work offline unless an external provider is explicitly selected.,none,READY_TO_IMPLEMENT,https://learn.microsoft.com/en-us/windows/package-manager/winget/source,P2_existing_reference
M01,M01-S03,Winget repair guidance,PLANNED,"Deliver Winget repair guidance as a bounded, inspectable Windows capability with truthful preflight, progress, result, and evidence.",CIM/WMI hardware classes; WinGet CLI,CIM/WMI hardware classes,typed Tauri/Rust contract; fixed allowlisted command only if required,yes,scope/source selector; Scan or Preview; Review results; Export evidence,bounded filters; timeout/result limits; evidence verbosity,operation id; phase; data source/API; duration; warnings/errors; changed/skipped objects,standard user unless the selected operation touches protected machine state,MEDIUM,False,Core local capability must work offline unless an external provider is explicitly selected.,none,READY_TO_IMPLEMENT,https://learn.microsoft.com/en-us/windows/package-manager/winget/source,P1_planned
M01,M01-S04,Essential software catalog,PLANNED,"Deliver Essential software catalog as a bounded, inspectable Windows capability with truthful preflight, progress, result, and evidence.",CIM/WMI hardware classes; WinGet CLI,CIM/WMI hardware classes,typed Tauri/Rust contract; fixed allowlisted command only if required,yes,scope/source selector; Scan or Preview; Review results; Export evidence,bounded filters; timeout/result limits; evidence verbosity,operation id; phase; data source/API; duration; warnings/errors; changed/skipped objects,standard user unless the selected operation touches protected machine state,LOW,False,Core local capability must work offline unless an external provider is explicitly selected.,none,READY_TO_IMPLEMENT,https://learn.microsoft.com/en-us/windows/package-manager/winget/source,P1_planned
M01,M01-S05,Bulk essential software installation,STATIC_VERIFIED,"Deliver Bulk essential software installation as a bounded, inspectable Windows capability with truthful preflight, progress, result, and evidence.",CIM/WMI hardware classes; WinGet CLI,CIM/WMI hardware classes,typed Tauri/Rust contract; fixed allowlisted command only if required,yes,scope/source selector; Scan or Preview; Review results; Export evidence,bounded filters; timeout/result limits; evidence verbosity,operation id; phase; data source/API; duration; warnings/errors; changed/skipped objects,standard user unless the selected operation touches protected machine state,LOW,False,Core local capability must work offline unless an external provider is explicitly selected.,none,READY_TO_IMPLEMENT,https://learn.microsoft.com/en-us/windows/package-manager/winget/source,P2_existing_reference
M01,M01-S06,Import an installation list,PLANNED,"Deliver Import an installation list as a bounded, inspectable Windows capability with truthful preflight, progress, result, and evidence.",CIM/WMI hardware classes; WinGet CLI,CIM/WMI hardware classes,typed Tauri/Rust contract; fixed allowlisted command only if required,yes,scope/source selector; Scan or Preview; Review results; Export evidence,bounded filters; timeout/result limits; evidence verbosity,operation id; phase; data source/API; duration; warnings/errors; changed/skipped objects,standard user unless the selected operation touches protected machine state,LOW,False,Core local capability must work offline unless an external provider is explicitly selected.,none,READY_TO_IMPLEMENT,https://learn.microsoft.com/en-us/windows/package-manager/winget/source,P1_planned
M01,M01-S07,Export installed application inventory,PLANNED,"Deliver Export installed application inventory as a bounded, inspectable Windows capability with truthful preflight, progress, result, and evidence.",CIM/WMI hardware classes; WinGet CLI,CIM/WMI hardware classes,typed Tauri/Rust contract; fixed allowlisted command only if required,yes,choose report scope; choose format; redaction toggle where personal data exists; Export,include/exclude evidence sections; timestamp/timezone; machine identifiers policy; pretty/compact JSON,operation id; phase; data source/API; duration; warnings/errors; changed/skipped objects,standard user unless the selected operation touches protected machine state,LOW,False,Core local capability must work offline unless an external provider is explicitly selected.,none,READY_TO_IMPLEMENT,https://learn.microsoft.com/en-us/windows/package-manager/winget/source,P1_planned
M01,M01-S08,Create post-format profiles,PLANNED,"Deliver Create post-format profiles as a bounded, inspectable Windows capability with truthful preflight, progress, result, and evidence.",CIM/WMI hardware classes; WinGet CLI,CIM/WMI hardware classes,typed Tauri/Rust contract; fixed allowlisted command only if required,yes,scope/source selector; Scan or Preview; Review results; Export evidence,bounded filters; timeout/result limits; evidence verbosity,operation id; phase; data source/API; duration; warnings/errors; changed/skipped objects,standard user unless the selected operation touches protected machine state,LOW,False,Core local capability must work offline unless an external provider is explicitly selected.,none,READY_TO_IMPLEMENT,https://learn.microsoft.com/en-us/windows/package-manager/winget/source,P1_planned
M01,M01-S09,Resumable installation queue,PLANNED,"Deliver Resumable installation queue as a bounded, inspectable Windows capability with truthful preflight, progress, result, and evidence.",CIM/WMI hardware classes; WinGet CLI,CIM/WMI hardware classes,typed Tauri/Rust contract; fixed allowlisted command only if required,yes,scope/source selector; Scan or Preview; Review results; Export evidence,bounded filters; timeout/result limits; evidence verbosity,operation id; phase; data source/API; duration; warnings/errors; changed/skipped objects,standard user unless the selected operation touches protected machine state,LOW,False,Core local capability must work offline unless an external provider is explicitly selected.,none,READY_TO_IMPLEMENT,https://learn.microsoft.com/en-us/windows/package-manager/winget/source,P1_planned
M01,M01-S10,Restore point before setup changes,PLANNED,"Deliver Restore point before setup changes as a bounded, inspectable Windows capability with truthful preflight, progress, result, and evidence.",CIM/WMI hardware classes; WinGet CLI,CIM/WMI hardware classes,typed Tauri/Rust contract; fixed allowlisted command only if required,yes,scope/source selector; Scan or Preview; Review results; Export evidence,bounded filters; timeout/result limits; evidence verbosity,operation id; phase; data source/API; duration; warnings/errors; changed/skipped objects,Administrator,MEDIUM,False,Core local capability must work offline unless an external provider is explicitly selected.,none,READY_TO_IMPLEMENT,https://learn.microsoft.com/en-us/windows/package-manager/winget/source,P1_planned
